GlobalID,OBJECTID,NAME,OWNERSHIP,LOCATION,REGION,LAT_DD,LONG_DD,CreationDate,Creator,EditDate,Editor,x,y
a73bca1f-ba34-4e6f-a967-99a7dc34f7bf,1,AKUTAN VILLAGE DOCK,Aleutians East Borough,Akutan,Southcoast,54.13313898,-165.77723887,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-18454239.8473121,7195411.63419213
9d1390fc-7754-45a0-be5e-7e3a81a6175f,2,ANGOON FERRY TERMINAL,State of Alaska,Angoon,Southcoast,57.47268196,-134.56758535,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-14979997.3114018,7857351.65580277
76fa3b50-85f4-4b11-a285-3ef793b548f8,3,ANNETTE BAY FERRY TERMINAL,State of Alaska,Annette Bay,Southcoast,55.26674076,-131.56007198,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-14645202.30241,7413809.01958698
a81865da-0018-4f55-b1bb-9f9405d165b0,4,AUKE BAY EAST STERN BERTH,State of Alaska,Juneau - Auke Bay,Southcoast,58.3817302,-134.68405541,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-14992962.7546787,8047939.17754654
eeb7b267-6855-4f49-9303-4a779aa38140,5,AUKE BAY FERRY TERMINAL - EAST,State of Alaska,Juneau - Auke Bay,Southcoast,58.38161248,-134.68499249,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-14993067.0702077,8047914.18052088
e6129207-80af-4909-bea5-eaa6a3797200,6,AUKE BAY FERRY TERMINAL - WEST,State of Alaska,Juneau - Auke Bay,Southcoast,58.381632,-134.68824201,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-14993428.8047667,8047918.32486659
c70e7a39-42c5-4c0d-b18c-0782bbabe043,7,CHENEGA DOCK,North Pacific Rim Housing Authority,Chenega,Central,60.06364168,-148.00805876,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-16476184.2141686,8413921.10730992
db82e56f-2b08-4b51-aff6-8f5c4c71e125,8,CLARK BAY FERRY TERMINAL,State of Alaska / IFA,Clark Bay,Southcoast,55.49066623,-132.62231333,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-14763450.4928245,7457683.61780029
ea075841-81ad-4d4a-b5fd-3f2854933d72,9,COFFMAN COVE FERRY TERMINAL,State of Alaska,Coffman Cove,Southcoast,56.01681967,-132.83465383,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-14787088.1579627,7561765.59509458
926c9c6c-ca42-4d4c-a25e-df0d25eb77fa,10,COLD BAY DOCK,Aleutians East Borough,Cold Bay,Southcoast,55.20734191,-162.69591636,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-18111228.6788633,7402211.42100189
4364891d-aa15-49a0-8744-1d2a74a8044a,11,CORDOVA FERRY TERMINAL,State of Alaska,Cordova,Northern,60.55730397,-145.75490002,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-16225363.7638874,8524875.08387371
2b282e0e-aa43-4b34-97e1-6e2b5c06a7f7,12,FALSE PASS DOCK,Village of False Pass,False Pass,Southcoast,54.86255479,-163.41146235,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-18190882.8701536,7335236.390121
85a716d2-a3fb-4f09-abc4-f6a6ccfa65a8,13,GUSTAVUS DOCK,State of Alaska,Gustavus,Southcoast,58.38951595,-135.7299051,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-15109386.222308,8049592.53120988
02883de8-6bca-441f-948b-8beec4d50f7a,14,HAINES FERRY TERMINAL,State of Alaska,Haines,Southcoast,59.28158803,-135.46196714,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-15079559.5581154,8241500.26245032
857fffb0-d4d4-48eb-8ef5-b7adcb292401,15,HOMER CITY DOCK,City of Homer,Homer,Central,59.60268878,-151.41040962,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-16854932.1437545,8311807.55716493
2376b571-6557-4440-9810-588b0458cbdf,16,HOONAH FERRY TERMINAL,State of Alaska,Hoonah,Southcoast,58.11664665,-135.45756099,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-15079068.9946477,7991862.22940238
29d76055-1aff-41cf-be92-9dbc4fd0bc53,17,KAKE FERRY TERMINAL,State of Alaska,Kake,Southcoast,56.96123652,-133.92096165,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-14908015.4545807,7752200.75635866
186387dc-38d5-4405-b377-686d84e4fdec,18,KETCHIKAN MAIN FERRY TERMINAL,State of Alaska,Ketchikan,Southcoast,55.3538474,-131.69444291,9/26/2025 6:37:47 PM,AKDOT_GIS,9/26/2025 6:37:47 PM,AKDOT_GIS,-14660160.4109522,7430846.67340261
