community,has_airport,has_road_access,has_water_access,primary_access_modes,latitude,longitude,coastal,cat_tier_level,access_score,tier_justification,harbordock,stateferry,cargobarge,data_collection_date
nulato,True,False,False,air,64.831118,-158.140348,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
nunam iqua,True,False,False,air,62.979819,-164.996398,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
nunapitchuk,True,False,False,air,61.186685,-162.526139,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
nunivak island,False,False,False,no_direct_access,60.698153,-166.563223,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
ohogamiut,False,False,False,no_direct_access,61.82173,-161.926903,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
old,True,False,False,air,57.217261,-153.281557,True,3,40,Single mode access (air) - limited transport options,True,True,True,2025-12-20
old harbor,False,False,True,water,57.201042,-153.305102,False,3,25,Single mode access (water) - limited transport options,False,False,False,2025-12-20
oliktok,False,False,False,no_direct_access,70.578308,-149.759093,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
ophir,True,False,False,air,63.209595,-156.533834,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
oscarville,False,False,False,no_direct_access,60.971249,-161.826985,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,True,2025-12-20
ouzinkie,True,False,True,"air,water",57.921253,-152.500166,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
paimiut,False,False,False,no_direct_access,62.233294,-166.009702,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
palmer,True,True,False,"air,road",61.717988,-149.094117,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
pauloff,False,False,False,no_direct_access,54.779241,-162.795307,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
paxson,True,True,False,"air,road",63.322925,-145.408858,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
pedro bay,True,False,False,air,59.807336,-154.099764,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
pelican,True,False,True,"air,water",57.957666,-136.227399,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
pennock island,False,False,False,no_direct_access,57.447757,-130.679724,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
