community,has_airport,has_road_access,has_water_access,primary_access_modes,latitude,longitude,coastal,cat_tier_level,access_score,tier_justification,harbordock,stateferry,cargobarge,data_collection_date
ekuk,True,False,False,air,58.909197,-158.578108,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
ekwok,True,False,False,air,59.412567,-157.488786,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
elfin cove,True,False,False,air,59.433877,-135.878124,True,3,40,Single mode access (air) - limited transport options,True,False,False,2025-12-20
elim,True,False,False,air,64.890528,-162.368596,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
emmonak,True,False,False,air,63.20046,-164.667306,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
ester,False,True,False,road,65.025921,-147.914026,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
ester dome,False,True,False,road,65.046827,-147.993549,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
eureka roadhouse,False,True,False,road,62.139462,-147.120673,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
evansville,False,False,False,no_direct_access,67.002529,-151.472761,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
excursion inlet,True,False,False,air,59.777896,-134.902726,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
eyak,False,False,False,no_direct_access,60.810199,-145.569697,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
fairbanks,True,True,False,"air,road",65.020275,-147.654379,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,True,2025-12-20
false pass,True,False,True,"air,water",54.862555,-163.411462,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
ferry,False,True,False,road,64.145511,-149.077643,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
fishhook,False,True,False,road,61.807446,-149.225796,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
flat,True,False,False,air,62.548756,-158.027515,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
fort glenn,False,False,False,no_direct_access,54.244814,-168.185217,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
fort greely,False,True,False,road,64.267864,-145.629337,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
fort wainwright,False,True,False,road,65.011565,-147.575596,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
fort yukon,True,False,False,air,66.856754,-145.081709,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
fox,False,True,False,road,65.142867,-147.548033,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
fox river,False,False,False,no_direct_access,59.909072,-150.906901,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
fritz creek,False,True,False,road,59.771764,-151.291211,True,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
funny river,False,True,False,road,60.565305,-150.751908,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
gakona,False,True,False,road,62.604911,-145.218172,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
galena,True,False,False,air,64.822728,-156.899709,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
gambell,True,False,False,air,64.867063,-172.284393,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
game creek,False,False,False,no_direct_access,59.418912,-134.975461,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
gateway,False,True,False,road,61.688017,-149.217454,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
georgetown,False,False,False,no_direct_access,61.973862,-157.773112,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
girdwood,True,True,False,"air,road",61.082583,-149.106493,True,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
glacier view,True,True,False,"air,road",61.967978,-147.686944,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
glennallen,True,True,False,"air,road",62.402277,-145.450583,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
gold sand acres,False,True,False,road,64.185003,-144.746073,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
goldstream,False,True,False,road,65.101621,-147.814149,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
golovin,True,False,False,air,64.859889,-163.159282,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
goodnews bay,False,False,False,no_direct_access,59.354688,-161.631933,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,True,2025-12-20
grayling,True,False,False,air,63.075185,-160.10934,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
gulkana,True,True,False,"air,road",62.567392,-145.290005,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
gustavus,True,False,True,"air,water",58.389516,-135.729905,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
haines,False,False,True,water,59.281588,-135.461967,False,3,25,Single mode access (water) - limited transport options,False,False,False,2025-12-20
halibut cove,False,False,False,no_direct_access,59.644749,-151.216078,True,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,False,2025-12-20
hamilton,False,False,False,no_direct_access,63.274466,-164.014365,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
happy valley,False,True,False,road,59.974492,-151.732071,True,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
harding-birch lakes,False,False,False,no_direct_access,64.601945,-146.517964,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
haystack,False,True,False,road,65.30703,-147.556165,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
healy,True,True,False,"air,road",64.001948,-148.967688,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
healy lake,False,False,False,no_direct_access,64.333368,-144.614068,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
hobart bay,False,False,False,no_direct_access,59.185165,-132.608625,True,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,False,2025-12-20
hollis,True,False,False,air,57.41258,-131.821581,True,3,40,Single mode access (air) - limited transport options,True,False,False,2025-12-20
holy cross,True,False,False,air,62.352877,-159.807095,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
homer,True,True,True,"air,road,water",59.602689,-151.41041,True,1,100,"Full multimodal access (air,road,water) including road connectivity",True,True,True,2025-12-20
hoonah,True,False,True,"air,water",58.116647,-135.457561,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
hooper bay,True,False,False,air,62.087833,-166.272728,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
hope,True,True,False,"air,road",61.015776,-149.604538,True,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
houston,True,True,False,"air,road",61.72744,-149.783046,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
hughes,True,False,False,air,66.104253,-154.260822,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
huslia,True,False,False,air,65.776944,-156.418118,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
hydaburg,True,False,False,air,57.118223,-132.010689,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
hyder,True,True,False,"air,road",58.319678,-128.867643,True,1,75,"Full multimodal access (air,road) including road connectivity",False,False,True,2025-12-20
iditarod,False,False,False,no_direct_access,62.642348,-158.116743,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
igiugig,True,False,False,air,59.354931,-155.908185,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
iliamna,True,False,False,air,59.776624,-154.908125,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
indian,False,False,False,no_direct_access,61.09073,-149.491447,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
ivanof bay,True,False,False,air,56.026049,-159.517669,True,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
jakolof bay,True,False,False,air,59.505749,-151.531313,True,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
juneau,True,False,True,"air,water",58.38173,-134.684055,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
kachemak,False,True,False,road,59.709831,-151.445881,True,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
kachemak selo,False,True,False,road,59.846247,-151.065698,True,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
kaguyak,False,False,False,no_direct_access,56.860389,-153.765407,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
kake,True,False,True,"air,water",56.961237,-133.920962,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
kaktovik,True,False,False,air,70.450708,-143.241439,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
kalifornsky,False,True,False,road,60.541295,-151.133998,True,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
kaltag,True,False,False,air,64.450884,-158.763731,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
kanatak,False,False,False,no_direct_access,57.58836,-156.042166,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
karluk,True,False,False,air,57.567055,-154.437838,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
kasaan,True,False,False,air,57.51167,-131.548349,True,3,40,Single mode access (air) - limited transport options,True,False,False,2025-12-20
kasigluk,True,False,False,air,61.187897,-162.589403,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
kasilof,True,True,False,"air,road",60.376124,-151.248894,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
kenai,True,True,False,"air,road",60.611943,-151.240599,True,1,75,"Full multimodal access (air,road) including road connectivity",False,False,True,2025-12-20
kenny lake,False,True,False,road,62.06353,-144.860748,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
ketchikan,True,False,True,"air,water",55.353847,-131.694443,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
kiana,True,False,False,air,67.156774,-160.543011,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
king cove,True,False,True,"air,water",55.055762,-162.323,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
king island,False,False,False,no_direct_access,65.646065,-168.397508,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
king salmon,True,False,False,air,58.72034,-156.675064,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
kipnuk,True,False,False,air,60.336472,-164.138419,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
kivalina,True,False,False,air,68.106371,-164.805115,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
klawock,True,False,False,air,57.40214,-132.317199,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
klawock lake,False,False,False,no_direct_access,57.395698,-132.202354,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
klehini valley,False,True,False,road,60.661629,-135.64395,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
klukwan,False,True,False,road,60.667108,-135.388668,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
knik,False,True,False,road,61.559756,-149.704153,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
knik river,False,True,False,road,61.621229,-148.916116,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
knik-fairview,False,True,False,road,61.617991,-149.6015,True,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
kobuk,True,False,False,air,66.991837,-156.920839,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
kodiak,True,False,True,"air,water",57.78719,-152.402538,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
kokhanok,True,False,False,air,59.458638,-154.750826,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
koliganek,True,False,False,air,59.786036,-157.295585,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
kongiganak,True,False,False,air,60.277489,-162.960968,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
kotlik,True,False,False,air,63.388477,-163.669281,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
kotzebue,True,False,False,air,67.176076,-162.756164,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
koyuk,True,False,False,air,65.149404,-161.249649,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
koyukuk,True,False,False,air,64.97984,-157.734496,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
