frn,provider_id,brand_name,location_id,technology,max_advertised_download_speed,max_advertised_upload_speed,low_latency,business_residential_code,state_usps,block_geoid,h3_res8_id
0001568880,130534,GCI Communication Corp.,1314951856,40,2500,75,1,X,AK,020200026022002,880c7338d9fffff
0001568880,130534,GCI Communication Corp.,1314954410,40,2500,75,1,X,AK,020200028212002,880c73210dfffff
0001568880,130534,GCI Communication Corp.,1314955395,40,2500,75,1,X,AK,020200025015007,880c7338a9fffff
0001568880,130534,GCI Communication Corp.,1314955739,40,2500,75,1,X,AK,020200017315005,880c733ad9fffff
0001568880,130534,GCI Communication Corp.,1314958403,40,2500,75,1,X,AK,020200017323004,880c7331a1fffff
0001568880,130534,GCI Communication Corp.,1314959145,40,2500,75,1,X,AK,020200002012010,880c73a99dfffff
0001568880,130534,GCI Communication Corp.,1314959511,40,2500,75,1,X,AK,020200009021002,880c733859fffff
0001568880,130534,GCI Communication Corp.,1314960031,40,2500,75,1,X,AK,020200021002000,880c73380dfffff
0001568880,130534,GCI Communication Corp.,1314960610,40,2500,75,1,X,AK,020200026031003,880c7338d3fffff
0001568880,130534,GCI Communication Corp.,1314961533,40,2500,75,1,X,AK,020200018011005,880c733aa7fffff
0001568880,130534,GCI Communication Corp.,1314963349,40,2500,75,1,X,AK,020200016013021,880c733ae1fffff
0001568880,130534,GCI Communication Corp.,1314968461,40,2500,75,1,X,AK,020200007011012,880c733ac9fffff
0001568880,130534,GCI Communication Corp.,1314972655,40,2500,75,1,X,AK,020200028111005,880c733895fffff
0001568880,130534,GCI Communication Corp.,1314973670,40,2500,75,1,X,AK,020200028212006,880c732105fffff
0001568880,130534,GCI Communication Corp.,1314946488,40,2500,75,1,X,AK,020200021001000,880c73380dfffff
0001568880,130534,GCI Communication Corp.,1314951595,40,2500,75,1,X,AK,020200027141000,880c732a59fffff
0001568880,130534,GCI Communication Corp.,1314953203,40,2500,75,1,X,AK,020200017324002,880c7331a1fffff
0001568880,130534,GCI Communication Corp.,1314953403,40,2500,75,1,X,AK,020200023041006,880c7339d1fffff
0001568880,130534,GCI Communication Corp.,1314953917,40,2500,75,1,X,AK,020200023011027,880c7339c1fffff
0001568880,130534,GCI Communication Corp.,1314961857,40,2500,75,1,X,AK,020200019001039,880c733857fffff
